City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Nazca,PE,-14.8333,-74.95,77.85,46,37,8.05,scattered clouds
333,Ancud,CL,-41.8697,-73.8203,60.33,70,1,7.05,clear sky
334,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,64,100,10.78,overcast clouds
335,Davidson,US,36.1501,-86.7833,81.28,69,40,5.01,scattered clouds
336,Lufilufi,WS,-13.8745,-171.5986,69.58,73,38,12.44,scattered clouds
337,Pontes E Lacerda,BR,-15.2261,-59.3353,101.03,28,27,7.87,scattered clouds
338,Panji,ID,-7.7253,114.0995,77.52,76,12,7.2,few clouds
339,Mecca,SA,21.4267,39.8261,89.56,51,37,5.68,scattered clouds
340,Mahajanga,MG,-15.7167,46.3167,80.62,65,20,8.05,few clouds
341,Yakeshi,CN,49.2833,120.7333,36.36,96,82,17.16,broken clouds
342,Umm Kaddadah,SD,13.6017,26.6876,95.22,13,56,11.18,broken clouds
343,Tessalit,ML,20.1986,1.0114,99.75,6,22,11.77,few clouds
344,Manokwari,ID,-0.8667,134.0833,78.33,83,30,3.91,scattered clouds
345,Mayo,US,38.8876,-76.5119,72.18,82,90,11.99,overcast clouds
